word	POS	label	negative	neutral	positive
!-3oh	interjection	positive	0.072	0.232	0.697
!-aaaah	interjection	neutral	0.002	0.998	0
!-aaah	interjection	neutral	0	0.998	0.002
!-aah	interjection	neutral	0	0.998	0.002
!-ack	interjection	negative	0.999	0.001	0
!-agh	interjection	negative	0.999	0.001	0
!-ah	interjection	positive	0	0.001	0.999
!-ahah	interjection	positive	0	0.001	0.999
!-ahaha	interjection	positive	0	0.001	0.999
!-ahahah	interjection	positive	0	0.001	0.999
!-ahahaha	interjection	positive	0	0.001	0.999
!-ahh	interjection	neutral	0	0.998	0.002
!-ahha	interjection	positive	0	0.001	0.999
!-ahhh	interjection	neutral	0.002	0.998	0
!-ahhhh	interjection	neutral	0.002	0.998	0
!-ahhhhh	interjection	neutral	0.002	0.998	0
!-ahhhhhh	interjection	neutral	0.002	0.998	0
!-ahhhhhhh	interjection	neutral	0.002	0.998	0
!-aight	interjection	positive	0	0.001	0.999
!-alright	interjection	positive	0	0.001	0.999
!-alrighty	interjection	positive	0	0.001	0.999
!-anywho	interjection	positive	0	0.001	0.999
!-arg	interjection	negative	0.999	0.001	0
!-argh	interjection	negative	0.999	0.001	0
!-arghh	interjection	negative	0.999	0.001	0
!-arghhh	interjection	negative	0.999	0.001	0
!-aw	interjection	neutral	0.002	0.998	0
!-awe	interjection	neutral	0.002	0.998	0
!-awh	interjection	negative	0.999	0.001	0
!-awhh	interjection	negative	0.999	0.001	0
!-aww	interjection	neutral	0.002	0.998	0
!-awwh	interjection	negative	0.999	0.001	0
!-awww	interjection	neutral	0.002	0.998	0
!-awwww	interjection	negative	0.999	0.001	0
!-awwwww	interjection	neutral	0.002	0.998	0
!-awwwwww	interjection	negative	0.999	0.001	0
!-awwwwwww	interjection	neutral	0.002	0.998	0
!-bah	interjection	negative	0.999	0.001	0
!-bahaha	interjection	positive	0	0.001	0.999
!-bahahaha	interjection	positive	0	0.001	0.999
!-bam	interjection	positive	0	0.001	0.999
!-bbl	interjection	positive	0	0.001	0.999
!-blahh	interjection	negative	0.999	0.001	0
!-blahhh	interjection	negative	0.999	0.001	0
!-bleh	interjection	negative	0.999	0.001	0
!-boohoo	interjection	negative	0.999	0.001	0
!-booo	interjection	negative	0.999	0.001	0
!-boooo	interjection	negative	0.999	0.001	0
!-booooo	interjection	negative	0.999	0.001	0
!-boooooo	interjection	negative	0.999	0.001	0
!-both	interjection	neutral	0.002	0.998	0
!-brb	interjection	positive	0	0.001	0.999
!-btw	interjection	positive	0	0.001	0.999
!-bye	interjection	neutral	0.002	0.998	0
!-byebye	interjection	negative	0.999	0.001	0
!-byee	interjection	positive	0	0.001	0.999
!-c'mon	interjection	neutral	0	0.787	0.213
!-cmon	interjection	neutral	0.002	0.998	0
!-cya	interjection	positive	0	0.001	0.999
!-damm	interjection	negative	0.999	0.001	0
!-dammit	interjection	negative	0.999	0.001	0
!-dang	interjection	negative	0.999	0.001	0
!-dangit	interjection	negative	0.999	0.001	0
!-darn	interjection	negative	0.999	0.001	0
!-doh	interjection	negative	0.999	0.001	0
!-duh	interjection	positive	0	0.001	0.999
!-dunno	interjection	neutral	0.002	0.998	0
!-eeek	interjection	neutral	0.002	0.998	0
!-eek	interjection	negative	0.999	0.001	0
!-eep	interjection	neutral	0.002	0.998	0
!-eh	interjection	positive	0	0.001	0.999
!-ehh	interjection	neutral	0.002	0.998	0
!-ehhh	interjection	neutral	0.002	0.998	0
!-ergh	interjection	negative	0.999	0.001	0
!-erm	interjection	positive	0	0.001	0.999
!-errr	interjection	neutral	0.002	0.998	0
!-eugh	interjection	negative	0.999	0.001	0
!-ew	interjection	negative	0.999	0.001	0
!-eww	interjection	negative	0.999	0.001	0
!-ewww	interjection	negative	0.999	0.001	0
!-ewwww	interjection	negative	0.999	0.001	0
!-ffs	interjection	negative	0.999	0.001	0
!-fml	interjection	negative	0.999	0.001	0
!-fyi	interjection	positive	0	0.001	0.999
!-g'morning	interjection	positive	0	0.001	0.999
!-g'night	interjection	positive	0	0.001	0.999
!-g'nite	interjection	positive	0	0.001	0.999
!-gah	interjection	negative	0.999	0.001	0
!-gahh	interjection	negative	0.999	0.001	0
!-gahhh	interjection	negative	0.999	0.001	0
!-gee	interjection	neutral	0.002	0.998	0
!-geez	interjection	neutral	0.002	0.998	0
!-gnight	interjection	positive	0	0.001	0.999
!-gnite	interjection	positive	0	0.001	0.999
!-goodluck	interjection	positive	0	0.001	0.999
!-goodmorning	interjection	positive	0	0.001	0.999
!-goodnight	interjection	positive	0	0.001	0.999
!-goodnite	interjection	positive	0	0.001	0.999
!-gosh	interjection	neutral	0.002	0.998	0
!-gotcha	interjection	positive	0	0.001	0.999
!-grr	interjection	negative	0.999	0.001	0
!-grrr	interjection	negative	0.999	0.001	0
!-grrrr	interjection	negative	0.999	0.001	0
!-grrrrr	interjection	negative	0.999	0.001	0
!-grrrrrr	interjection	negative	0.999	0.001	0
!-gtg	interjection	neutral	0.002	0.998	0
!-haa	interjection	positive	0	0.001	0.999
!-haaa	interjection	positive	0	0.001	0.999
!-hah	interjection	positive	0	0.001	0.999
!-hahaa	interjection	positive	0	0.001	0.999
!-hahah	interjection	positive	0	0.001	0.999
!-hahahaa	interjection	positive	0	0.001	0.999
!-hahahaha	interjection	positive	0	0.001	0.999
!-hahahahah	interjection	positive	0	0.001	0.999
!-hahahahaha	interjection	positive	0	0.001	0.999
!-hahahahahaha	interjection	positive	0	0.001	0.999
!-hahahha	interjection	positive	0	0.001	0.999
!-hahha	interjection	positive	0	0.001	0.999
!-hai	interjection	neutral	0	0.998	0.002
!-har	interjection	positive	0	0.001	0.999
!-hay	interjection	neutral	0.002	0.998	0
!-hee	interjection	positive	0	0.001	0.999
!-heeey	interjection	positive	0	0.001	0.999
!-heehee	interjection	positive	0	0.001	0.999
!-heey	interjection	positive	0	0.001	0.999
!-heh	interjection	positive	0	0.001	0.999
!-hehe	interjection	positive	0	0.001	0.999
!-heheh	interjection	positive	0	0.001	0.999
!-hehehe	interjection	positive	0	0.001	0.999
!-hehehehe	interjection	positive	0	0.001	0.999
!-hella	interjection	neutral	0.002	0.998	0
!-hello	interjection	positive	0	0.001	0.999
!-hey	interjection	positive	0	0.001	0.999
!-heya	interjection	positive	0	0.001	0.999
!-heyy	interjection	positive	0	0.001	0.999
!-heyyy	interjection	positive	0	0.001	0.999
!-heyyyy	interjection	positive	0	0.001	0.999
!-hi	interjection	positive	0	0.001	0.999
!-hihi	interjection	positive	0	0.001	0.999
!-hii	interjection	positive	0	0.001	0.999
!-hiii	interjection	positive	0	0.001	0.999
!-hiya	interjection	positive	0	0.001	0.999
!-hmmm	interjection	neutral	0	0.998	0.002
!-hmmmm	interjection	neutral	0	0.998	0.002
!-hmmmmm	interjection	positive	0	0.001	0.999
!-hmph	interjection	negative	0.999	0.001	0
!-ho	interjection	neutral	0.002	0.998	0
!-hola	interjection	positive	0	0.001	0.999
!-holla	interjection	positive	0	0.001	0.999
!-hoo	interjection	neutral	0.002	0.998	0
!-hooo	interjection	positive	0	0.001	0.999
!-howdy	interjection	positive	0	0.001	0.999
!-huh	interjection	positive	0	0.001	0.999
!-huhu	interjection	negative	0.999	0.001	0
!-hurray	interjection	positive	0	0.001	0.999
!-ick	interjection	negative	0.999	0.001	0
!-ikr	interjection	negative	0.999	0.001	0
!-ily	interjection	positive	0	0.001	0.999
!-imy	interjection	negative	0.999	0.001	0
!-j/k	interjection	positive	0	0.001	0.999
!-jeez	interjection	negative	0.999	0.001	0
!-jk	interjection	neutral	0	0.998	0.002
!-k	interjection	positive	0	0.001	0.999
!-kk	interjection	neutral	0	0.998	0.002
!-lalala	interjection	positive	0	0.001	0.999
!-laters	interjection	positive	0	0.001	0.999
!-lmaoo	interjection	neutral	0	0.998	0.002
!-lmaooo	interjection	neutral	0.002	0.998	0
!-loll	interjection	positive	0	0.001	0.999
!-lolll	interjection	neutral	0.002	0.998	0
!-lolol	interjection	positive	0	0.001	0.999
!-lololol	interjection	positive	0	0.001	0.999
!-lols	interjection	neutral	0	0.995	0.005
!-lolz	interjection	positive	0	0.001	0.999
!-lool	interjection	positive	0	0.045	0.955
!-ly	interjection	positive	0	0.001	0.999
!-ma'am	interjection	positive	0	0.001	0.999
!-mannn	interjection	negative	0.999	0.001	0
!-meh	interjection	neutral	0.002	0.998	0
!-mmm	interjection	positive	0	0.001	0.999
!-mmmm	interjection	positive	0	0.001	0.999
!-mmmmm	interjection	positive	0	0.001	0.999
!-mmmmmm	interjection	positive	0	0.001	0.999
!-muah	interjection	positive	0	0.001	0.999
!-mwah	interjection	positive	0	0.001	0.999
!-my	interjection	neutral	0.002	0.998	0
!-nah	interjection	positive	0	0.001	0.999
!-nahh	interjection	neutral	0	0.998	0.002
!-naw	interjection	neutral	0.002	0.998	0
!-naww	interjection	neutral	0.002	0.998	0
!-nevermind	interjection	neutral	0.002	0.998	0
!-no	interjection	neutral	0.002	0.998	0
!-noes	interjection	negative	0.999	0.001	0
!-nom	interjection	positive	0	0.001	0.999
!-noo	interjection	negative	0.999	0.001	0
!-nooo	interjection	negative	0.999	0.001	0
!-noooo	interjection	negative	0.999	0.001	0
!-nooooo	interjection	negative	0.999	0.001	0
!-noooooo	interjection	negative	0.999	0.001	0
!-nooooooo	interjection	negative	0.999	0.001	0
!-noooooooo	interjection	negative	0.999	0.001	0
!-nooooooooo	interjection	negative	0.999	0.001	0
!-noooooooooo	interjection	negative	0.999	0.001	0
!-nope	interjection	neutral	0.002	0.998	0
!-nvm	interjection	neutral	0.002	0.998	0
!-o	interjection	neutral	0	0.998	0.002
!-ofcourse	interjection	positive	0	0.001	0.999
!-ohh	interjection	neutral	0	0.998	0.002
!-ohhh	interjection	neutral	0.002	0.998	0
!-ohhhh	interjection	neutral	0	0.998	0.002
!-ohhhhh	interjection	neutral	0.002	0.998	0
!-oi	interjection	neutral	0.002	0.998	0
!-ok	interjection	positive	0	0.001	0.999
!-okayy	interjection	neutral	0	0.998	0.002
!-okie	interjection	positive	0	0.001	0.999
!-om	interjection	neutral	0	0.998	0.002
!-omfg	interjection	neutral	0.002	0.998	0
!-omg	interjection	neutral	0.002	0.998	0
!-omgg	interjection	neutral	0.002	0.998	0
!-omggg	interjection	negative	0.999	0.001	0
!-omgggg	interjection	neutral	0.002	0.998	0
!-omgosh	interjection	neutral	0.002	0.998	0
!-omj	interjection	neutral	0	0.998	0.002
!-oo	interjection	neutral	0	0.986	0.014
!-ooh	interjection	positive	0	0.001	0.999
!-oohh	interjection	neutral	0	0.998	0.002
!-ooo	interjection	positive	0	0.001	0.999
!-oooh	interjection	positive	0	0.001	0.999
!-oooo	interjection	positive	0	0.001	0.999
!-ooooh	interjection	neutral	0	0.998	0.002
!-ooooo	interjection	positive	0	0.001	0.999
!-oooooh	interjection	positive	0	0.001	0.999
!-ooops	interjection	neutral	0.002	0.998	0
!-oops	interjection	neutral	0	0.998	0.002
!-opps	interjection	neutral	0.002	0.998	0
!-ouch	interjection	negative	0.999	0.001	0
!-ouchie	interjection	negative	0.999	0.001	0
!-ow	interjection	negative	0.999	0.001	0
!-oww	interjection	negative	0.999	0.001	0
!-owww	interjection	negative	0.999	0.001	0
!-oy	interjection	negative	0.999	0.001	0
!-p.s	interjection	positive	0	0.001	0.999
!-p.s.	interjection	positive	0	0.001	0.999
!-pfft	interjection	neutral	0.002	0.998	0
!-phew	interjection	positive	0	0.001	0.999
!-ps	interjection	neutral	0	0.998	0.002
!-psh	interjection	neutral	0	0.998	0.002
!-r.i.p	interjection	negative	0.999	0.001	0
!-r.i.p.	interjection	negative	0.999	0.001	0
